===============================================================================
Id,TSLA,len,datetime,open,high,low,close,volume,openinterest,adjclose,MAcrossover,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,Trades - Net Profit/Loss,len,pnlplus,pnlminus
321,TSLA,321,2017-09-20 23:59:59.999989,74.6,75.65,74.21,74.78,24595500.0,0.0,74.781998,MAcrossover,321,736592.9999999999,Broker,321,10012.45,10012.45,BuySell,321,,,Trades - Net Profit/Loss,321,,
322,TSLA,322,2017-09-21 23:59:59.999989,74.98,75.37,72.9,73.3,23091000.0,0.0,73.295998,MAcrossover,322,736593.9999999999,Broker,322,10012.45,10012.45,BuySell,322,,,Trades - Net Profit/Loss,322,,
323,TSLA,323,2017-09-22 23:59:59.999989,73.3,73.98,70.18,70.22,40797000.0,0.0,70.218002,MAcrossover,323,736594.9999999999,Broker,323,10012.45,10012.45,BuySell,323,,,Trades - Net Profit/Loss,323,,
324,TSLA,324,2017-09-25 23:59:59.999989,70.63,71.49,68.58,69.0,38029500.0,0.0,68.998001,MAcrossover,324,736597.9999999999,Broker,324,10012.45,10012.45,BuySell,324,,,Trades - Net Profit/Loss,324,,
325,TSLA,325,2017-09-26 23:59:59.999989,70.19,70.25,68.18,69.05,35781500.0,0.0,69.050003,MAcrossover,325,736598.9999999999,Broker,325,10012.45,10012.45,BuySell,325,,,Trades - Net Profit/Loss,325,,
326,TSLA,326,2017-09-27 23:59:59.999989,69.98,70.3,68.1,68.19,30301500.0,0.0,68.194,MAcrossover,326,736599.9999999999,Broker,326,10012.45,10012.45,BuySell,326,,,Trades - Net Profit/Loss,326,,
327,TSLA,327,2017-09-28 23:59:59.999989,67.98,68.55,67.08,67.92,26598000.0,0.0,67.919998,MAcrossover,327,736600.9999999999,Broker,327,10012.45,10012.45,BuySell,327,,,Trades - Net Profit/Loss,327,,
328,TSLA,328,2017-09-29 23:59:59.999989,68.37,68.94,67.72,68.22,25535500.0,0.0,68.220001,MAcrossover,328,736601.9999999999,Broker,328,10012.45,10012.45,BuySell,328,,,Trades - Net Profit/Loss,328,,
329,TSLA,329,2017-10-02 23:59:59.999989,68.5,68.74,67.1,68.31,26434000.0,0.0,68.306,MAcrossover,329,736604.9999999999,Broker,329,10012.45,10012.45,BuySell,329,,,Trades - Net Profit/Loss,329,,
330,TSLA,330,2017-10-03 23:59:59.999989,67.18,69.71,66.26,69.63,50768000.0,0.0,69.627998,MAcrossover,330,736605.9999999999,Broker,330,10012.45,10012.45,BuySell,330,,,Trades - Net Profit/Loss,330,,
331,TSLA,331,2017-10-04 23:59:59.999989,70.25,71.72,69.92,71.0,40817500.0,0.0,71.001999,MAcrossover,331,736606.9999999999,Broker,331,10012.45,10012.45,BuySell,331,,,Trades - Net Profit/Loss,331,,
332,TSLA,332,2017-10-05 23:59:59.999989,71.2,71.49,70.27,71.07,20858500.0,0.0,71.066002,MAcrossover,332,736607.9999999999,Broker,332,10012.45,10012.45,BuySell,332,,,Trades - Net Profit/Loss,332,,
333,TSLA,333,2017-10-06 23:59:59.999989,70.62,72.02,70.45,71.38,21487500.0,0.0,71.375999,MAcrossover,333,736608.9999999999,Broker,333,10012.45,10012.45,BuySell,333,,,Trades - Net Profit/Loss,333,,
334,TSLA,334,2017-10-09 23:59:59.999989,69.93,70.35,68.53,68.59,37468500.0,0.0,68.587997,MAcrossover,334,736611.9999999999,Broker,334,10012.45,10012.45,BuySell,334,,,Trades - Net Profit/Loss,334,,
335,TSLA,335,2017-10-10 23:59:59.999989,69.36,71.13,69.11,71.12,34892500.0,0.0,71.117996,MAcrossover,335,736612.9999999999,Broker,335,10012.45,10012.45,BuySell,335,,,Trades - Net Profit/Loss,335,,
336,TSLA,336,2017-10-11 23:59:59.999989,70.78,71.52,70.23,70.92,22504000.0,0.0,70.919998,MAcrossover,336,736613.9999999999,Broker,336,10012.45,10012.45,BuySell,336,,,Trades - Net Profit/Loss,336,,
337,TSLA,337,2017-10-12 23:59:59.999989,70.59,71.96,70.53,71.14,20435000.0,0.0,71.136002,MAcrossover,337,736614.9999999999,Broker,337,10012.45,10012.45,BuySell,337,,,Trades - Net Profit/Loss,337,,
