===============================================================================
Id,TSLA_data,len,datetime,open,high,low,close,volume,openinterest,GoldCross,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,Trades - Net Profit/Loss,len,pnlplus,pnlminus
6174,TSLA_data,6174,2021-06-01 11:29:00,624.255,624.6087,623.8801,623.8801,38652.0,38652.0,GoldCross,6174,737942.4784722222,Broker,6174,10000.0,10000.0,BuySell,6174,,,Trades - Net Profit/Loss,6174,,
6175,TSLA_data,6175,2021-06-01 11:28:00,625.0463,625.09,624.12,624.23,43706.0,43706.0,GoldCross,6175,737942.4777777778,Broker,6175,10000.0,10000.0,BuySell,6175,,,Trades - Net Profit/Loss,6175,,
6176,TSLA_data,6176,2021-06-01 11:27:00,625.32,625.42,624.94,625.01,37669.0,37669.0,GoldCross,6176,737942.4770833333,Broker,6176,10000.0,10000.0,BuySell,6176,,,Trades - Net Profit/Loss,6176,,
6177,TSLA_data,6177,2021-06-01 11:26:00,625.4861,625.78,625.1082,625.25,41062.0,41062.0,GoldCross,6177,737942.4763888889,Broker,6177,10000.0,10000.0,BuySell,6177,,,Trades - Net Profit/Loss,6177,,
6178,TSLA_data,6178,2021-06-01 11:25:00,625.2365,625.8,625.15,625.4368,67565.0,67565.0,GoldCross,6178,737942.4756944445,Broker,6178,10000.0,10000.0,BuySell,6178,,,Trades - Net Profit/Loss,6178,,
6179,TSLA_data,6179,2021-06-01 11:24:00,624.8,625.52,624.8,625.26,76668.0,76668.0,GoldCross,6179,737942.475,Broker,6179,10000.0,10000.0,BuySell,6179,,,Trades - Net Profit/Loss,6179,,
6180,TSLA_data,6180,2021-06-01 11:23:00,623.765,624.99,623.7026,624.72,60852.0,60852.0,GoldCross,6180,737942.4743055556,Broker,6180,10000.0,10000.0,BuySell,6180,,,Trades - Net Profit/Loss,6180,,
6181,TSLA_data,6181,2021-06-01 11:22:00,623.95,624.06,623.48,623.685,34237.0,34237.0,GoldCross,6181,737942.473611111,Broker,6181,10000.0,10000.0,BuySell,6181,,,Trades - Net Profit/Loss,6181,,
6182,TSLA_data,6182,2021-06-01 11:21:00,624.09,624.36,623.87,623.8861,19687.0,19687.0,GoldCross,6182,737942.4729166667,Broker,6182,10000.0,10000.0,BuySell,6182,,,Trades - Net Profit/Loss,6182,,
6183,TSLA_data,6183,2021-06-01 11:20:00,623.4584,624.14,623.3432,624.1,28312.0,28312.0,GoldCross,6183,737942.4722222222,Broker,6183,10000.0,10000.0,BuySell,6183,,,Trades - Net Profit/Loss,6183,,
6184,TSLA_data,6184,2021-06-01 11:19:00,623.64,623.7679,623.34,623.46,29374.0,29374.0,GoldCross,6184,737942.4715277777,Broker,6184,10000.0,10000.0,BuySell,6184,,,Trades - Net Profit/Loss,6184,,
6185,TSLA_data,6185,2021-06-01 11:18:00,623.99,623.99,623.41,623.5324,12824.0,12824.0,GoldCross,6185,737942.4708333333,Broker,6185,10000.0,10000.0,BuySell,6185,,,Trades - Net Profit/Loss,6185,,
6186,TSLA_data,6186,2021-06-01 11:17:00,623.81,624.27,623.49,624.0695,14216.0,14216.0,GoldCross,6186,737942.4701388889,Broker,6186,10000.0,10000.0,BuySell,6186,,,Trades - Net Profit/Loss,6186,,
6187,TSLA_data,6187,2021-06-01 11:16:00,624.16,624.49,623.38,623.7501,33558.0,33558.0,GoldCross,6187,737942.4694444444,Broker,6187,10000.0,10000.0,BuySell,6187,,,Trades - Net Profit/Loss,6187,,
6188,TSLA_data,6188,2021-06-01 11:15:00,624.69,624.7006,624.01,624.01,28982.0,28982.0,GoldCross,6188,737942.46875,Broker,6188,10000.0,10000.0,BuySell,6188,,,Trades - Net Profit/Loss,6188,,
6189,TSLA_data,6189,2021-06-01 11:14:00,624.69,624.83,624.37,624.7,26159.0,26159.0,GoldCross,6189,737942.4680555556,Broker,6189,10000.0,10000.0,BuySell,6189,,,Trades - Net Profit/Loss,6189,,
6190,TSLA_data,6190,2021-06-01 11:13:00,624.872,624.9,624.4,624.55,37905.0,37905.0,GoldCross,6190,737942.4673611111,Broker,6190,10000.0,10000.0,BuySell,6190,,,Trades - Net Profit/Loss,6190,,
6191,TSLA_data,6191,2021-06-01 11:12:00,623.9796,625.0963,623.9796,624.865,80781.0,80781.0,GoldCross,6191,737942.4666666667,Broker,6191,10000.0,10000.0,BuySell,6191,,,Trades - Net Profit/Loss,6191,,
6192,TSLA_data,6192,2021-06-01 11:11:00,623.94,624.05,623.555,624.05,27748.0,27748.0,GoldCross,6192,737942.4659722223,Broker,6192,10000.0,10000.0,BuySell,6192,,,Trades - Net Profit/Loss,6192,,
6193,TSLA_data,6193,2021-06-01 11:10:00,624.36,624.4,623.8101,624.02,27603.0,27603.0,GoldCross,6193,737942.4652777778,Broker,6193,10000.0,10000.0,BuySell,6193,,,Trades - Net Profit/Loss,6193,,
6194,TSLA_data,6194,2021-06-01 11:09:00,624.18,624.66,624.01,624.38,44090.0,44090.0,GoldCross,6194,737942.4645833333,Broker,6194,10000.0,10000.0,BuySell,6194,,,Trades - Net Profit/Loss,6194,,
6195,TSLA_data,6195,2021-06-01 11:08:00,623.5,624.4,623.4401,624.1,40815.0,40815.0,GoldCross,6195,737942.463888889,Broker,6195,10000.0,10000.0,BuySell,6195,,,Trades - Net Profit/Loss,6195,,
6196,TSLA_data,6196,2021-06-01 11:07:00,622.59,623.5228,622.5,623.4061,69554.0,69554.0,GoldCross,6196,737942.4631944444,Broker,6196,10000.0,10000.0,BuySell,6196,,,Trades - Net Profit/Loss,6196,,
6197,TSLA_data,6197,2021-06-01 11:06:00,624.04,624.5,622.24,622.59,121127.0,121127.0,GoldCross,6197,737942.4625,Broker,6197,10000.0,10000.0,BuySell,6197,,,Trades - Net Profit/Loss,6197,,
6198,TSLA_data,6198,2021-06-01 11:05:00,623.66,624.05,623.17,623.97,42203.0,42203.0,GoldCross,6198,737942.4618055555,Broker,6198,10000.0,10000.0,BuySell,6198,,,Trades - Net Profit/Loss,6198,,
6199,TSLA_data,6199,2021-06-01 11:04:00,624.2499,624.47,623.4688,623.6496,44575.0,44575.0,GoldCross,6199,737942.4611111111,Broker,6199,10000.0,10000.0,BuySell,6199,,,Trades - Net Profit/Loss,6199,,
6200,TSLA_data,6200,2021-06-01 11:03:00,624.37,624.5,624.0,624.2,27203.0,27203.0,GoldCross,6200,737942.4604166667,Broker,6200,10000.0,10000.0,BuySell,6200,,,Trades - Net Profit/Loss,6200,,
6201,TSLA_data,6201,2021-06-01 11:02:00,624.7,624.93,624.31,624.37,17865.0,17865.0,GoldCross,6201,737942.4597222222,Broker,6201,10000.0,10000.0,BuySell,6201,,,Trades - Net Profit/Loss,6201,,
6202,TSLA_data,6202,2021-06-01 11:01:00,624.27,624.9199,623.9038,624.7479,48826.0,48826.0,GoldCross,6202,737942.4590277778,Broker,6202,10000.0,10000.0,BuySell,6202,,,Trades - Net Profit/Loss,6202,,
6203,TSLA_data,6203,2021-06-01 11:00:00,624.46,624.68,623.89,624.5,43410.0,43410.0,GoldCross,6203,737942.4583333334,Broker,6203,10000.0,10000.0,BuySell,6203,,,Trades - Net Profit/Loss,6203,,
6204,TSLA_data,6204,2021-06-01 10:59:00,623.9926,624.7786,623.6523,624.45,59319.0,59319.0,GoldCross,6204,737942.4576388889,Broker,6204,10000.0,10000.0,BuySell,6204,,,Trades - Net Profit/Loss,6204,,
6205,TSLA_data,6205,2021-06-01 10:58:00,623.85,624.05,623.56,623.93,50021.0,50021.0,GoldCross,6205,737942.4569444444,Broker,6205,10000.0,10000.0,BuySell,6205,,,Trades - Net Profit/Loss,6205,,
6206,TSLA_data,6206,2021-06-01 10:57:00,624.2599,624.45,623.05,623.73,68004.0,68004.0,GoldCross,6206,737942.45625,Broker,6206,10000.0,10000.0,BuySell,6206,,,Trades - Net Profit/Loss,6206,,
6207,TSLA_data,6207,2021-06-01 10:56:00,624.005,624.2879,623.54,624.241,61664.0,61664.0,GoldCross,6207,737942.4555555555,Broker,6207,10000.0,10000.0,BuySell,6207,,,Trades - Net Profit/Loss,6207,,
